date,node,reach_id,pred,se
2023-05-25,3,44230000841,-0.00109968454192431,0.0251373518890096
2023-05-25,4,44230000851,-0.00109968573828977,0.0251373783891461
2023-05-25,5,44230000861,-0.00109968692915148,0.025137404768225
2023-05-25,6,44230000871,-0.00109968825490558,0.0251374341363408
2023-05-25,7,44250000011,-0.00147398071514773,0.0289578881968026
2023-05-25,8,44250000021,-0.00147398362116264,0.0289579439540399
2023-05-25,9,44250000031,-0.00147398652175042,0.028957999611534
2023-05-25,10,44250000041,-0.00147398815117917,0.0289580308795062
2023-05-25,11,44250000061,-0.0069201897515668,0.0150061991597543
2023-05-25,12,44250000421,1.08048955488389e-12,0.0365705085569559
2023-05-25,13,44250000431,1.08049153587673e-12,0.0365705765762624
2023-05-25,14,44250000071,-0.00725504366672906,0.0156324827459699
2023-05-25,15,44250000081,-0.00725505052175121,0.0156324955048134
2023-05-25,16,44250000091,-0.0072550573341594,0.0156325082292377
2023-05-25,17,44250000101,-0.007255064192642,0.0156325210849317
2023-05-25,18,44250000111,-0.00725507824827269,0.0156325475728663
2023-05-25,19,44250000131,-0.00762399609674318,0.0163218678652822
2023-05-25,20,44250000141,-0.00762401165027239,0.0163218976199872
2023-05-25,21,44250000151,-0.00762401966976313,0.0163219130489923
2023-05-25,22,44250000181,-0.0080120192973912,0.0170512957654747
2023-05-25,23,44250000191,-0.00801202808176496,0.0170513128051664
2023-05-25,24,44250000371,-0.00810588330958021,0.0174093370402503
2023-05-25,25,44250000381,-0.00810589295688819,0.0174093523931774
2023-05-25,26,44250000391,-0.00810590129755356,0.0174093682272545
2023-05-25,27,44250000401,-0.00810591606776074,0.0174094018310738
2023-05-25,28,44271000011,-0.0100179128485056,0.0289569007833494
2023-05-25,29,44261000011,-0.00544465332649422,0.0293999080271327
2023-05-25,30,44261000061,-0.00102124332225915,0.0364996219152364
2023-05-25,31,44261000024,-0.00544465371962871,0.02939991019725
2023-05-25,32,44261000031,-0.00617609168544345,0.0338789639005708
2023-05-25,33,44250000201,-0.00716021135599833,0.0199761080093504
2023-05-25,34,44250000211,-0.0071602187026239,0.019976129336044
2023-05-25,35,44250000221,-0.00716022607693295,0.0199761507840621
2023-05-25,36,44250000231,-0.00716023344846611,0.0199761722650219
2023-05-25,37,44250000161,-8.22849304444783e-12,0.0365705766652892
2023-05-25,38,44250000121,-4.5820856061685e-12,0.0365705766652123
2023-05-25,39,44250000051,4.63838933513462e-12,0.0365705765006003
2023-05-25,40,44240100011,0.00127050509063926,0.0109204625602394
2023-05-25,41,44240300011,0.00211298730445235,0.0137737113013137
2023-05-25,42,44240300021,0.0021129912961736,0.0137737352313383
2023-05-25,43,44240500011,0.0326872016149406,0.0169296044242359
2023-05-25,44,44240500021,0.0326872357292944,0.0169296136807514
2023-05-25,45,44240500031,0.0326872697574978,0.016929623946296
2023-05-25,46,44240500041,0.0326873038128542,0.0169296352523675
2023-05-25,47,44240500051,0.0326873378720688,0.0169296475926438
2023-05-25,48,44240500061,0.0326873718997234,0.0169296609530333
2023-05-25,49,44240500071,0.0326874162128114,0.0169296798974867
2023-05-25,50,44240500081,0.03268748079255,0.0169297106372636
2023-05-25,51,44240500091,0.0326875431239205,0.0169297438289196
2023-05-25,52,44240500101,0.0326876031380286,0.0169297790557855
2023-05-25,53,44240500211,0.0326876378015347,0.0169298008636618
2023-05-25,54,44240500221,0.032687672522597,0.016929823780379
2023-05-25,55,44240500231,0.0326877118073875,0.0169298510037112
2023-05-25,56,44240500241,0.0326877481236536,0.0169298773923591
2023-05-25,57,44240500251,0.0326877845541971,0.0169299050440186
2023-05-25,58,44240500121,2.07311028586284e-10,0.0365705767118312
2023-05-25,59,44240500111,0.0388528901571629,0.0189039855663176
2023-05-25,60,44240700011,0.0585092991961747,0.0216358157196499
2023-05-25,61,44240600011,3.91268454133982e-10,0.0365705767975295
2023-05-25,62,44240400011,-0.0281114812863696,0.0168418252028516
2023-05-25,63,44240400021,-0.0281115328911142,0.0168418316031423
2023-05-25,64,44240400031,-0.0281115830965108,0.0168418401174961
2023-05-25,65,44240400041,-0.0281116152921899,0.0168418467649114
2023-05-25,66,44240400051,-0.028111647350164,0.0168418543057836
